Codes:,Depreciable assets (Net),Accumulated depreciation (Net),Inventories (Net),Land (Net),Depreciable assets (Income),Accumulated depreciation (Income),Inventories (Income),Land (Income)
481212,1489716630.39,657046076.589,30092955.7836,30970769.6894,517479363.014,239936635.003,16363359.894,18458404.1836
481219,1489716630.39,657046076.589,30092955.7836,30970769.6894,517479363.014,239936635.003,16363359.894,18458404.1836
482,6110222000.0,2636218000.0,108395000.0,47361000.0,1471654000.0,511147000.0,63553000.0,40408500.0
4821,6110222000.0,2636218000.0,108395000.0,47361000.0,1471654000.0,511147000.0,63553000.0,40408500.0
48211,6110222000.0,2636218000.0,108395000.0,47361000.0,1471654000.0,511147000.0,63553000.0,40408500.0
482111,3055111000.0,1318109000.0,54197500.0,23680500.0,735827000.0,255573500.0,31776500.0,20204250.0
482112,3055111000.0,1318109000.0,54197500.0,23680500.0,735827000.0,255573500.0,31776500.0,20204250.0
483,15924493000.0,3730289000.0,109429000.0,47777000.0,6830877000.0,1883029000.0,35719000.0,45911000.0
4831,7962246500.0,1865144500.0,54714500.0,23888500.0,3415438500.0,941514500.0,17859500.0,22955500.0
48311,7962246500.0,1865144500.0,54714500.0,23888500.0,3415438500.0,941514500.0,17859500.0,22955500.0
483111,1990561625.0,466286125.0,13678625.0,5972125.0,853859625.0,235378625.0,4464875.0,5738875.0
483112,1990561625.0,466286125.0,13678625.0,5972125.0,853859625.0,235378625.0,4464875.0,5738875.0
483113,1990561625.0,466286125.0,13678625.0,5972125.0,853859625.0,235378625.0,4464875.0,5738875.0
483114,1990561625.0,466286125.0,13678625.0,5972125.0,853859625.0,235378625.0,4464875.0,5738875.0
4832,7962246500.0,1865144500.0,54714500.0,23888500.0,3415438500.0,941514500.0,17859500.0,22955500.0
48321,7962246500.0,1865144500.0,54714500.0,23888500.0,3415438500.0,941514500.0,17859500.0,22955500.0
483211,3981123250.0,932572250.0,27357250.0,11944250.0,1707719250.0,470757250.0,8929750.0,11477750.0
483212,3981123250.0,932572250.0,27357250.0,11944250.0,1707719250.0,470757250.0,8929750.0,11477750.0
484,10969307965.3,6472562969.46,127281920.242,121380693.262,6563583911.93,4560142417.64,102258606.908,84332652.3966
