Codes:,Interest Paid,Land,Capital Stock,Cost of Treasury Stock,Depreciable Assets,Earnings (rtnd appr),Earnings (rtnd unappr.),Accumulated Depreciation,Inventories,Additional paid-in Capital
6111,41081.4281559,48936.4302334,76488.0004155,36940.2862683,1870410.14327,0.0,653303.285714,994219.429402,56619.2850218,422805.286268
61111,41081.4281559,48936.4302334,76488.0004155,36940.2862683,1870410.14327,0.0,653303.285714,994219.429402,56619.2850218,422805.286268
611110,41081.4281559,48936.4302334,76488.0004155,36940.2862683,1870410.14327,0.0,653303.285714,994219.429402,56619.2850218,422805.286268
6112,41081.4281559,48936.4302334,76488.0004155,36940.2862683,1870410.14327,0.0,653303.285714,994219.429402,56619.2850218,422805.286268
61121,41081.4281559,48936.4302334,76488.0004155,36940.2862683,1870410.14327,0.0,653303.285714,994219.429402,56619.2850218,422805.286268
611210,41081.4281559,48936.4302334,76488.0004155,36940.2862683,1870410.14327,0.0,653303.285714,994219.429402,56619.2850218,422805.286268
6113,41081.4281559,48936.4302334,76488.0004155,36940.2862683,1870410.14327,0.0,653303.285714,994219.429402,56619.2850218,422805.286268
61131,41081.4281559,48936.4302334,76488.0004155,36940.2862683,1870410.14327,0.0,653303.285714,994219.429402,56619.2850218,422805.286268
611310,41081.4281559,48936.4302334,76488.0004155,36940.2862683,1870410.14327,0.0,653303.285714,994219.429402,56619.2850218,422805.286268
6114,41081.4281559,48936.4302334,76488.0004155,36940.2862683,1870410.14327,0.0,653303.285714,994219.429402,56619.2850218,422805.286268
61141,13693.8093853,16312.1434111,25496.0001385,12313.4287561,623470.047758,0.0,217767.761905,331406.476467,18873.0950073,140935.095423
611410,13693.8093853,16312.1434111,25496.0001385,12313.4287561,623470.047758,0.0,217767.761905,331406.476467,18873.0950073,140935.095423
61142,13693.8093853,16312.1434111,25496.0001385,12313.4287561,623470.047758,0.0,217767.761905,331406.476467,18873.0950073,140935.095423
611420,13693.8093853,16312.1434111,25496.0001385,12313.4287561,623470.047758,0.0,217767.761905,331406.476467,18873.0950073,140935.095423
61143,13693.8093853,16312.1434111,25496.0001385,12313.4287561,623470.047758,0.0,217767.761905,331406.476467,18873.0950073,140935.095423
611430,13693.8093853,16312.1434111,25496.0001385,12313.4287561,623470.047758,0.0,217767.761905,331406.476467,18873.0950073,140935.095423
6115,41081.4281559,48936.4302334,76488.0004155,36940.2862683,1870410.14327,0.0,653303.285714,994219.429402,56619.2850218,422805.286268
61151,41081.4281559,48936.4302334,76488.0004155,36940.2862683,1870410.14327,0.0,653303.285714,994219.429402,56619.2850218,422805.286268
611511,10270.357039,12234.1075583,19122.0001039,9235.07156707,467602.535818,0.0,163325.821429,248554.857351,14154.8212555,105701.321567
611512,10270.357039,12234.1075583,19122.0001039,9235.07156707,467602.535818,0.0,163325.821429,248554.857351,14154.8212555,105701.321567
611513,10270.357039,12234.1075583,19122.0001039,9235.07156707,467602.535818,0.0,163325.821429,248554.857351,14154.8212555,105701.321567
611519,10270.357039,12234.1075583,19122.0001039,9235.07156707,467602.535818,0.0,163325.821429,248554.857351,14154.8212555,105701.321567
6116,41081.4281559,48936.4302334,76488.0004155,36940.2862683,1870410.14327,0.0,653303.285714,994219.429402,56619.2850218,422805.286268
61161,10270.357039,12234.1075583,19122.0001039,9235.07156707,467602.535818,0.0,163325.821429,248554.857351,14154.8212555,105701.321567
611610,10270.357039,12234.1075583,19122.0001039,9235.07156707,467602.535818,0.0,163325.821429,248554.857351,14154.8212555,105701.321567
61162,10270.357039,12234.1075583,19122.0001039,9235.07156707,467602.535818,0.0,163325.821429,248554.857351,14154.8212555,105701.321567
611620,10270.357039,12234.1075583,19122.0001039,9235.07156707,467602.535818,0.0,163325.821429,248554.857351,14154.8212555,105701.321567
61163,10270.357039,12234.1075583,19122.0001039,9235.07156707,467602.535818,0.0,163325.821429,248554.857351,14154.8212555,105701.321567
611630,10270.357039,12234.1075583,19122.0001039,9235.07156707,467602.535818,0.0,163325.821429,248554.857351,14154.8212555,105701.321567
61169,10270.357039,12234.1075583,19122.0001039,9235.07156707,467602.535818,0.0,163325.821429,248554.857351,14154.8212555,105701.321567
611691,3423.45234633,4078.03585278,6374.00003462,3078.35718902,155867.511939,0.0,54441.9404762,82851.6191169,4718.27375182,35233.7738557
611692,3423.45234633,4078.03585278,6374.00003462,3078.35718902,155867.511939,0.0,54441.9404762,82851.6191169,4718.27375182,35233.7738557
611699,3423.45234633,4078.03585278,6374.00003462,3078.35718902,155867.511939,0.0,54441.9404762,82851.6191169,4718.27375182,35233.7738557
6117,41081.4281559,48936.4302334,76488.0004155,36940.2862683,1870410.14327,0.0,653303.285714,994219.429402,56619.2850218,422805.286268
61171,41081.4281559,48936.4302334,76488.0004155,36940.2862683,1870410.14327,0.0,653303.285714,994219.429402,56619.2850218,422805.286268
611710,41081.4281559,48936.4302334,76488.0004155,36940.2862683,1870410.14327,0.0,653303.285714,994219.429402,56619.2850218,422805.286268
62,3827879.97616,2873223.09537,4809395.02384,2481569.03179,138932769.024,0.0,18434353.0,95518090.0477,1082937.96026,13727909.0318
621,3827879.97616,2873223.09537,4809395.02384,2481569.03179,138932769.024,0.0,18434353.0,95518090.0477,1082937.96026,13727909.0318
6212,3827879.97616,2873223.09537,4809395.02384,2481569.03179,138932769.024,0.0,18434353.0,95518090.0477,1082937.96026,13727909.0318
62121,3827879.97616,2873223.09537,4809395.02384,2481569.03179,138932769.024,0.0,18434353.0,95518090.0477,1082937.96026,13727909.0318
621210,3827879.97616,2873223.09537,4809395.02384,2481569.03179,138932769.024,0.0,18434353.0,95518090.0477,1082937.96026,13727909.0318
