Codes:,land_net,inventories_income,accumulated_depreciation_income,land_income,inventories_net,accumulated_depreciation_net,depreciable_assets_net,depreciable_assets_income
336510,64321578.2402,1077482549.44,1509693714.29,56650480.9274,1192677154.63,1663738841.96,3900624394.8,3573692131.08
3366,64321578.2402,1077482549.44,1509693714.29,56650480.9274,1192677154.63,1663738841.96,3900624394.8,3573692131.08
33661,64321578.2402,1077482549.44,1509693714.29,56650480.9274,1192677154.63,1663738841.96,3900624394.8,3573692131.08
336611,32160789.1201,538741274.718,754846857.143,28325240.4637,596338577.316,831869420.981,1950312197.4,1786846065.54
336612,32160789.1201,538741274.718,754846857.143,28325240.4637,596338577.316,831869420.981,1950312197.4,1786846065.54
3369,64321578.2402,1077482549.44,1509693714.29,56650480.9274,1192677154.63,1663738841.96,3900624394.8,3573692131.08
33699,64321578.2402,1077482549.44,1509693714.29,56650480.9274,1192677154.63,1663738841.96,3900624394.8,3573692131.08
336991,21440526.0801,359160849.812,503231238.095,18883493.6425,397559051.544,554579613.987,1300208131.6,1191230710.36
336992,21440526.0801,359160849.812,503231238.095,18883493.6425,397559051.544,554579613.987,1300208131.6,1191230710.36
336999,21440526.0801,359160849.812,503231238.095,18883493.6425,397559051.544,554579613.987,1300208131.6,1191230710.36
337,21146002.3247,153338992.494,175847000.0,2441017.86811,334771004.019,364961994.819,657248988.475,256596995.981
3371,7048667.44156,51112997.4981,58615666.6667,813672.622704,111590334.673,121653998.273,219082996.158,85532331.9937
33711,3524333.72078,25556498.749,29307833.3333,406836.311352,55795167.3365,60826999.1365,109541498.079,42766165.9969
337110,3524333.72078,25556498.749,29307833.3333,406836.311352,55795167.3365,60826999.1365,109541498.079,42766165.9969
33712,3524333.72078,25556498.749,29307833.3333,406836.311352,55795167.3365,60826999.1365,109541498.079,42766165.9969
337121,704866.744156,5111299.74981,5861566.66667,81367.2622704,11159033.4673,12165399.8273,21908299.6158,8553233.19937
337122,704866.744156,5111299.74981,5861566.66667,81367.2622704,11159033.4673,12165399.8273,21908299.6158,8553233.19937
337124,704866.744156,5111299.74981,5861566.66667,81367.2622704,11159033.4673,12165399.8273,21908299.6158,8553233.19937
337125,704866.744156,5111299.74981,5861566.66667,81367.2622704,11159033.4673,12165399.8273,21908299.6158,8553233.19937
337127,704866.744156,5111299.74981,5861566.66667,81367.2622704,11159033.4673,12165399.8273,21908299.6158,8553233.19937
3372,7048667.44156,51112997.4981,58615666.6667,813672.622704,111590334.673,121653998.273,219082996.158,85532331.9937
33721,7048667.44156,51112997.4981,58615666.6667,813672.622704,111590334.673,121653998.273,219082996.158,85532331.9937
337211,1762166.86039,12778249.3745,14653916.6667,203418.155676,27897583.6682,30413499.5682,54770749.0396,21383082.9984
337212,1762166.86039,12778249.3745,14653916.6667,203418.155676,27897583.6682,30413499.5682,54770749.0396,21383082.9984
337214,1762166.86039,12778249.3745,14653916.6667,203418.155676,27897583.6682,30413499.5682,54770749.0396,21383082.9984
337215,1762166.86039,12778249.3745,14653916.6667,203418.155676,27897583.6682,30413499.5682,54770749.0396,21383082.9984
3379,7048667.44156,51112997.4981,58615666.6667,813672.622704,111590334.673,121653998.273,219082996.158,85532331.9937
33791,3524333.72078,25556498.749,29307833.3333,406836.311352,55795167.3365,60826999.1365,109541498.079,42766165.9969
337910,3524333.72078,25556498.749,29307833.3333,406836.311352,55795167.3365,60826999.1365,109541498.079,42766165.9969
33792,3524333.72078,25556498.749,29307833.3333,406836.311352,55795167.3365,60826999.1365,109541498.079,42766165.9969
337920,3524333.72078,25556498.749,29307833.3333,406836.311352,55795167.3365,60826999.1365,109541498.079,42766165.9969
339,42724012.9421,2194430958.21,2701007000.0,36310099.4764,2833608022.37,3280677971.16,5655647935.84,4474632977.63
3391,21362006.471,1097215479.11,1350503500.0,18155049.7382,1416804011.19,1640338985.58,2827823967.92,2237316488.81
33911,21362006.471,1097215479.11,1350503500.0,18155049.7382,1416804011.19,1640338985.58,2827823967.92,2237316488.81
339112,4272401.29421,219443095.821,270100700.0,3631009.94764,283360802.237,328067797.116,565564793.584,447463297.763
339113,4272401.29421,219443095.821,270100700.0,3631009.94764,283360802.237,328067797.116,565564793.584,447463297.763
339114,4272401.29421,219443095.821,270100700.0,3631009.94764,283360802.237,328067797.116,565564793.584,447463297.763
339115,4272401.29421,219443095.821,270100700.0,3631009.94764,283360802.237,328067797.116,565564793.584,447463297.763
339116,4272401.29421,219443095.821,270100700.0,3631009.94764,283360802.237,328067797.116,565564793.584,447463297.763
3399,21362006.471,1097215479.11,1350503500.0,18155049.7382,1416804011.19,1640338985.58,2827823967.92,2237316488.81
33991,3560334.41184,182869246.518,225083916.667,3025841.62303,236134001.864,273389830.93,471303994.653,372886081.469
339910,3560334.41184,182869246.518,225083916.667,3025841.62303,236134001.864,273389830.93,471303994.653,372886081.469
33992,3560334.41184,182869246.518,225083916.667,3025841.62303,236134001.864,273389830.93,471303994.653,372886081.469
339920,3560334.41184,182869246.518,225083916.667,3025841.62303,236134001.864,273389830.93,471303994.653,372886081.469
33993,3560334.41184,182869246.518,225083916.667,3025841.62303,236134001.864,273389830.93,471303994.653,372886081.469
339930,3560334.41184,182869246.518,225083916.667,3025841.62303,236134001.864,273389830.93,471303994.653,372886081.469
33994,3560334.41184,182869246.518,225083916.667,3025841.62303,236134001.864,273389830.93,471303994.653,372886081.469
339940,3560334.41184,182869246.518,225083916.667,3025841.62303,236134001.864,273389830.93,471303994.653,372886081.469
33995,3560334.41184,182869246.518,225083916.667,3025841.62303,236134001.864,273389830.93,471303994.653,372886081.469
339950,3560334.41184,182869246.518,225083916.667,3025841.62303,236134001.864,273389830.93,471303994.653,372886081.469
33999,3560334.41184,182869246.518,225083916.667,3025841.62303,236134001.864,273389830.93,471303994.653,372886081.469
339991,593389.06864,30478207.753,37513986.1111,504306.937172,39355666.9774,45564971.8216,78550665.7755,62147680.2448
339992,593389.06864,30478207.753,37513986.1111,504306.937172,39355666.9774,45564971.8216,78550665.7755,62147680.2448
339993,593389.06864,30478207.753,37513986.1111,504306.937172,39355666.9774,45564971.8216,78550665.7755,62147680.2448
339994,593389.06864,30478207.753,37513986.1111,504306.937172,39355666.9774,45564971.8216,78550665.7755,62147680.2448
339995,593389.06864,30478207.753,37513986.1111,504306.937172,39355666.9774,45564971.8216,78550665.7755,62147680.2448
339999,593389.06864,30478207.753,37513986.1111,504306.937172,39355666.9774,45564971.8216,78550665.7755,62147680.2448
42,2767185099.91,41956816900.1,15240164000.0,1900278099.91,50607765950.0,18954054000.0,52334702950.0,39722871050.0
423,869451038.065,18966262961.9,5544632000.0,409147038.065,23460459981.0,7506537380.98,14440740981.0,10260736019.0
