Codes:,Capital_stock,land,earnings_(rtnd_appr.),cost_of_treasury_stock,additional_paid-in_capital,depreciable_assets,earnings_(rtnd_unappr.),accumulated_depreciation,inventories,interest_paid
212222,634300250.497,128019274.777,10345825.5978,318564842.91,4031727321.01,4659532908.86,1692828475.82,1842502946.57,322127504.288,239910758.174
21223,1268600500.99,256038549.555,20691651.1956,637129685.821,8063454642.01,9319065817.72,3385656951.63,3685005893.14,644255008.575,479821516.348
212231,634300250.497,128019274.777,10345825.5978,318564842.91,4031727321.01,4659532908.86,1692828475.82,1842502946.57,322127504.288,239910758.174
212234,634300250.497,128019274.777,10345825.5978,318564842.91,4031727321.01,4659532908.86,1692828475.82,1842502946.57,322127504.288,239910758.174
21229,1268600500.99,256038549.555,20691651.1956,637129685.821,8063454642.01,9319065817.72,3385656951.63,3685005893.14,644255008.575,479821516.348
212291,634300250.497,128019274.777,10345825.5978,318564842.91,4031727321.01,4659532908.86,1692828475.82,1842502946.57,322127504.288,239910758.174
212299,634300250.497,128019274.777,10345825.5978,318564842.91,4031727321.01,4659532908.86,1692828475.82,1842502946.57,322127504.288,239910758.174
2123,5074402003.97,1024154198.22,82766604.7823,2548518743.28,32253818568.0,37276263270.9,13542627806.5,14740023572.5,2577020034.3,1919286065.39
21231,1691467334.66,341384732.74,27588868.2608,849506247.761,10751272856.0,12425421090.3,4514209268.84,4913341190.85,859006678.101,639762021.798
212311,422866833.664,85346183.1849,6897217.06519,212376561.94,2687818214.0,3106355272.57,1128552317.21,1228335297.71,214751669.525,159940505.449
212312,422866833.664,85346183.1849,6897217.06519,212376561.94,2687818214.0,3106355272.57,1128552317.21,1228335297.71,214751669.525,159940505.449
212313,422866833.664,85346183.1849,6897217.06519,212376561.94,2687818214.0,3106355272.57,1128552317.21,1228335297.71,214751669.525,159940505.449
212319,422866833.664,85346183.1849,6897217.06519,212376561.94,2687818214.0,3106355272.57,1128552317.21,1228335297.71,214751669.525,159940505.449
21232,1691467334.66,341384732.74,27588868.2608,849506247.761,10751272856.0,12425421090.3,4514209268.84,4913341190.85,859006678.101,639762021.798
212321,422866833.664,85346183.1849,6897217.06519,212376561.94,2687818214.0,3106355272.57,1128552317.21,1228335297.71,214751669.525,159940505.449
212322,422866833.664,85346183.1849,6897217.06519,212376561.94,2687818214.0,3106355272.57,1128552317.21,1228335297.71,214751669.525,159940505.449
212324,422866833.664,85346183.1849,6897217.06519,212376561.94,2687818214.0,3106355272.57,1128552317.21,1228335297.71,214751669.525,159940505.449
212325,422866833.664,85346183.1849,6897217.06519,212376561.94,2687818214.0,3106355272.57,1128552317.21,1228335297.71,214751669.525,159940505.449
21239,1691467334.66,341384732.74,27588868.2608,849506247.761,10751272856.0,12425421090.3,4514209268.84,4913341190.85,859006678.101,639762021.798
212391,422866833.664,85346183.1849,6897217.06519,212376561.94,2687818214.0,3106355272.57,1128552317.21,1228335297.71,214751669.525,159940505.449
212392,422866833.664,85346183.1849,6897217.06519,212376561.94,2687818214.0,3106355272.57,1128552317.21,1228335297.71,214751669.525,159940505.449
212393,422866833.664,85346183.1849,6897217.06519,212376561.94,2687818214.0,3106355272.57,1128552317.21,1228335297.71,214751669.525,159940505.449
212399,422866833.664,85346183.1849,6897217.06519,212376561.94,2687818214.0,3106355272.57,1128552317.21,1228335297.71,214751669.525,159940505.449
213,15223206011.9,3072462594.66,248299814.347,7645556229.85,96761455704.1,111828789813.0,40627883419.6,44220070717.6,7731060102.91,5757858196.18
2131,15223206011.9,3072462594.66,248299814.347,7645556229.85,96761455704.1,111828789813.0,40627883419.6,44220070717.6,7731060102.91,5757858196.18
21311,15223206011.9,3072462594.66,248299814.347,7645556229.85,96761455704.1,111828789813.0,40627883419.6,44220070717.6,7731060102.91,5757858196.18
213111,3044641202.38,614492518.931,49659962.8694,1529111245.97,19352291140.8,22365757962.5,8125576683.92,8844014143.53,1546212020.58,1151571639.24
213112,3044641202.38,614492518.931,49659962.8694,1529111245.97,19352291140.8,22365757962.5,8125576683.92,8844014143.53,1546212020.58,1151571639.24
213113,3044641202.38,614492518.931,49659962.8694,1529111245.97,19352291140.8,22365757962.5,8125576683.92,8844014143.53,1546212020.58,1151571639.24
213114,3044641202.38,614492518.931,49659962.8694,1529111245.97,19352291140.8,22365757962.5,8125576683.92,8844014143.53,1546212020.58,1151571639.24
213115,3044641202.38,614492518.931,49659962.8694,1529111245.97,19352291140.8,22365757962.5,8125576683.92,8844014143.53,1546212020.58,1151571639.24
22,90394053994.4,4422516043.37,1991774706.29,16533545398.1,231737063793.0,1.35074039608e+12,91521536141.8,423172872313.0,28919447178.8,33520527621.4
221,90394053994.4,4422516043.37,1991774706.29,16533545398.1,231737063793.0,1.35074039608e+12,91521536141.8,423172872313.0,28919447178.8,33520527621.4
2212,90394053994.4,4422516043.37,1991774706.29,16533545398.1,231737063793.0,1.35074039608e+12,91521536141.8,423172872313.0,28919447178.8,33520527621.4
22121,90394053994.4,4422516043.37,1991774706.29,16533545398.1,231737063793.0,1.35074039608e+12,91521536141.8,423172872313.0,28919447178.8,33520527621.4
221210,90394053994.4,4422516043.37,1991774706.29,16533545398.1,231737063793.0,1.35074039608e+12,91521536141.8,423172872313.0,28919447178.8,33520527621.4
23,10135700717.0,10539361083.9,548441034.979,11344237973.5,65047835929.8,107540302885.0,29590218686.8,69389467366.0,35538679581.6,3761171398.96
236,3946532596.18,4928243190.52,35248901.0194,5340829334.27,26659489064.9,6795269105.14,3867698731.27,684856909.832,30373239284.0,1678860109.51
2361,1973266298.09,2464121595.26,17624450.5097,2670414667.14,13329744532.4,3397634552.57,1933849365.64,342428454.916,15186619642.0,839430054.755
23611,1973266298.09,2464121595.26,17624450.5097,2670414667.14,13329744532.4,3397634552.57,1933849365.64,342428454.916,15186619642.0,839430054.755
236115,493316574.522,616030398.815,4406112.62743,667603666.784,3332436133.11,849408638.142,483462341.409,85607113.729,3796654910.5,209857513.689
236116,493316574.522,616030398.815,4406112.62743,667603666.784,3332436133.11,849408638.142,483462341.409,85607113.729,3796654910.5,209857513.689
236117,493316574.522,616030398.815,4406112.62743,667603666.784,3332436133.11,849408638.142,483462341.409,85607113.729,3796654910.5,209857513.689
236118,493316574.522,616030398.815,4406112.62743,667603666.784,3332436133.11,849408638.142,483462341.409,85607113.729,3796654910.5,209857513.689
2362,1973266298.09,2464121595.26,17624450.5097,2670414667.14,13329744532.4,3397634552.57,1933849365.64,342428454.916,15186619642.0,839430054.755
23621,986633149.045,1232060797.63,8812225.25485,1335207333.57,6664872266.22,1698817276.28,966924682.819,171214227.458,7593309821.01,419715027.377
236210,986633149.045,1232060797.63,8812225.25485,1335207333.57,6664872266.22,1698817276.28,966924682.819,171214227.458,7593309821.01,419715027.377
23622,986633149.045,1232060797.63,8812225.25485,1335207333.57,6664872266.22,1698817276.28,966924682.819,171214227.458,7593309821.01,419715027.377
236220,986633149.045,1232060797.63,8812225.25485,1335207333.57,6664872266.22,1698817276.28,966924682.819,171214227.458,7593309821.01,419715027.377
237,2948658850.36,8756854112.93,175957961.191,2103657507.6,31043701860.2,40176787041.6,5503679161.15,19119508510.0,10334252967.1,802291142.41
2372,2948658850.36,8756854112.93,175957961.191,2103657507.6,31043701860.2,40176787041.6,5503679161.15,19119508510.0,10334252967.1,802291142.41
23721,2948658850.36,8756854112.93,175957961.191,2103657507.6,31043701860.2,40176787041.6,5503679161.15,19119508510.0,10334252967.1,802291142.41
237210,2948658850.36,8756854112.93,175957961.191,2103657507.6,31043701860.2,40176787041.6,5503679161.15,19119508510.0,10334252967.1,802291142.41
238,3240509270.45,-3145736219.57,337234172.769,3899751131.64,7344645004.8,60568246738.5,20218840794.4,49585101946.1,-5168812669.52,1280020147.04
2382,3240509270.45,-3145736219.57,337234172.769,3899751131.64,7344645004.8,60568246738.5,20218840794.4,49585101946.1,-5168812669.52,1280020147.04
23821,925393306.686,-1361536749.68,202694937.008,1477743242.88,7880118538.22,25565083881.4,11281334283.2,18768826679.1,-2630141766.81,424186994.789
238210,925393306.686,-1361536749.68,202694937.008,1477743242.88,7880118538.22,25565083881.4,11281334283.2,18768826679.1,-2630141766.81,424186994.789
23822,2315115963.76,-1784199469.88,134539235.76,2422007888.77,-535473533.424,35003162857.2,8937506511.21,30816275267.0,-2538670902.71,855833152.254
238220,2315115963.76,-1784199469.88,134539235.76,2422007888.77,-535473533.424,35003162857.2,8937506511.21,30816275267.0,-2538670902.71,855833152.254
31.32.33,442960626167.0,78352033850.6,12717956784.4,1.11445228475e+12,2.9549080145e+12,2.50416001517e+12,1.56917462977e+12,1.39882257147e+12,572260510534.0,195100724763.0
311,33335334693.7,4796477557.68,89094192.9077,54198295576.3,154056455031.0,189150571365.0,101356948543.0,102957465315.0,51491985889.2,12806200004.4
3116,33335334693.7,4796477557.68,89094192.9077,54198295576.3,154056455031.0,189150571365.0,101356948543.0,102957465315.0,51491985889.2,12806200004.4
31161,33335334693.7,4796477557.68,89094192.9077,54198295576.3,154056455031.0,189150571365.0,101356948543.0,102957465315.0,51491985889.2,12806200004.4
311615,33335334693.7,4796477557.68,89094192.9077,54198295576.3,154056455031.0,189150571365.0,101356948543.0,102957465315.0,51491985889.2,12806200004.4
312,5709406572.43,2423469589.99,0.0,65593545482.8,64428613971.4,50134114504.6,64030522708.4,22624448525.2,14860255636.3,6523844565.23
3121,5709406572.43,2423469589.99,0.0,65593545482.8,64428613971.4,50134114504.6,64030522708.4,22624448525.2,14860255636.3,6523844565.23
31212,5709406572.43,2423469589.99,0.0,65593545482.8,64428613971.4,50134114504.6,64030522708.4,22624448525.2,14860255636.3,6523844565.23
312120,5709406572.43,2423469589.99,0.0,65593545482.8,64428613971.4,50134114504.6,64030522708.4,22624448525.2,14860255636.3,6523844565.23
313,1597689367.41,213054243.363,2077527.81661,857507370.419,8339207646.9,16289161377.8,1895390881.46,11788313472.7,5301682221.7,599953749.413
3131,532563122.469,71018081.1209,692509.272205,285835790.14,2779735882.3,5429720459.28,631796960.487,3929437824.24,1767227407.23,199984583.138
31311,532563122.469,71018081.1209,692509.272205,285835790.14,2779735882.3,5429720459.28,631796960.487,3929437824.24,1767227407.23,199984583.138
313110,532563122.469,71018081.1209,692509.272205,285835790.14,2779735882.3,5429720459.28,631796960.487,3929437824.24,1767227407.23,199984583.138
3132,532563122.469,71018081.1209,692509.272205,285835790.14,2779735882.3,5429720459.28,631796960.487,3929437824.24,1767227407.23,199984583.138
31321,133140780.617,17754520.2802,173127.318051,71458947.5349,694933970.575,1357430114.82,157949240.122,982359456.059,441806851.808,49996145.7844
313210,133140780.617,17754520.2802,173127.318051,71458947.5349,694933970.575,1357430114.82,157949240.122,982359456.059,441806851.808,49996145.7844
31322,133140780.617,17754520.2802,173127.318051,71458947.5349,694933970.575,1357430114.82,157949240.122,982359456.059,441806851.808,49996145.7844
313220,133140780.617,17754520.2802,173127.318051,71458947.5349,694933970.575,1357430114.82,157949240.122,982359456.059,441806851.808,49996145.7844
31323,133140780.617,17754520.2802,173127.318051,71458947.5349,694933970.575,1357430114.82,157949240.122,982359456.059,441806851.808,49996145.7844
313230,133140780.617,17754520.2802,173127.318051,71458947.5349,694933970.575,1357430114.82,157949240.122,982359456.059,441806851.808,49996145.7844
31324,133140780.617,17754520.2802,173127.318051,71458947.5349,694933970.575,1357430114.82,157949240.122,982359456.059,441806851.808,49996145.7844
313240,133140780.617,17754520.2802,173127.318051,71458947.5349,694933970.575,1357430114.82,157949240.122,982359456.059,441806851.808,49996145.7844
3133,532563122.469,71018081.1209,692509.272205,285835790.14,2779735882.3,5429720459.28,631796960.487,3929437824.24,1767227407.23,199984583.138
31331,266281561.234,35509040.5604,346254.636102,142917895.07,1389867941.15,2714860229.64,315898480.244,1964718912.12,883613703.616,99992291.5688
313310,266281561.234,35509040.5604,346254.636102,142917895.07,1389867941.15,2714860229.64,315898480.244,1964718912.12,883613703.616,99992291.5688
31332,266281561.234,35509040.5604,346254.636102,142917895.07,1389867941.15,2714860229.64,315898480.244,1964718912.12,883613703.616,99992291.5688
313320,266281561.234,35509040.5604,346254.636102,142917895.07,1389867941.15,2714860229.64,315898480.244,1964718912.12,883613703.616,99992291.5688
315,1445781518.9,357179793.568,4750563.60666,2076547270.14,5588006547.96,8415049055.71,4962848809.54,5632595300.61,7600269274.89,711600187.42
3151,-1219.91686737,-918.827193032,1583521.20222,-1722.36806583,-3446.69350103,-39354.0608173,-23274.7826216,-27151.5723408,-12064.2100992,-667.900349095
31511,-609.958433683,-459.413596516,791760.601109,-861.184032914,-1723.34675051,-19677.0304086,-11637.3913108,-13575.7861704,-6032.10504959,-333.950174547
315110,-609.958433683,-459.413596516,791760.601109,-861.184032914,-1723.34675051,-19677.0304086,-11637.3913108,-13575.7861704,-6032.10504959,-333.950174547
31519,-609.958433683,-459.413596516,791760.601109,-861.184032914,-1723.34675051,-19677.0304086,-11637.3913108,-13575.7861704,-6032.10504959,-333.950174547
315190,-609.958433683,-459.413596516,791760.601109,-861.184032914,-1723.34675051,-19677.0304086,-11637.3913108,-13575.7861704,-6032.10504959,-333.950174547
3152,-1219.91686737,-918.827193032,1583521.20222,-1722.36806583,-3446.69350103,-39354.0608173,-23274.7826216,-27151.5723408,-12064.2100992,-667.900349095
31521,-304.979216842,-229.706798258,395880.300555,-430.592016457,-861.673375257,-9838.51520431,-5818.6956554,-6787.89308521,-3016.05252479,-166.975087274
315210,-304.979216842,-229.706798258,395880.300555,-430.592016457,-861.673375257,-9838.51520431,-5818.6956554,-6787.89308521,-3016.05252479,-166.975087274
