Codes:,Capital_stock,land,cost_of_treasury_stock,additional_paid-in_capital,earnings_(rtnd_appr),depreciable_assets,earnings_(rtnd_unappr.),accumulated_depreciation,inventories,interest_paid
22121,180823468.121,9192742.61372,33098871.9718,465379552.763,3983549.41258,2707120441.29,186840799.284,849372795.889,58353140.138,67167656.111
221210,180823468.121,9192742.61372,33098871.9718,465379552.763,3983549.41258,2707120441.29,186840799.284,849372795.889,58353140.138,67167656.111
23,33730070.4802,51457379.3528,33286180.0087,202006057.921,1096882.06996,544632906.817,206479149.374,372290585.824,142384839.086,14551063.7517
236,11197045.8792,17314170.0707,13283298.5056,70972323.0417,70497.8020388,94492626.9836,43895889.8536,58694697.6426,78251815.5134,5083207.20472
2361,5598522.93959,8657085.03535,6641649.2528,35486161.5208,35248.9010194,47246313.4918,21947944.9268,29347348.8213,39125907.7567,2541603.60236
23611,5598522.93959,8657085.03535,6641649.2528,35486161.5208,35248.9010194,47246313.4918,21947944.9268,29347348.8213,39125907.7567,2541603.60236
236115,1399630.7349,2164271.25884,1660412.3132,8871540.38021,8812.22525485,11811578.373,5486986.2317,7336837.20533,9781476.93917,635400.900589
236116,1399630.7349,2164271.25884,1660412.3132,8871540.38021,8812.22525485,11811578.373,5486986.2317,7336837.20533,9781476.93917,635400.900589
236117,1399630.7349,2164271.25884,1660412.3132,8871540.38021,8812.22525485,11811578.373,5486986.2317,7336837.20533,9781476.93917,635400.900589
236118,1399630.7349,2164271.25884,1660412.3132,8871540.38021,8812.22525485,11811578.373,5486986.2317,7336837.20533,9781476.93917,635400.900589
2362,5598522.93959,8657085.03535,6641649.2528,35486161.5208,35248.9010194,47246313.4918,21947944.9268,29347348.8213,39125907.7567,2541603.60236
23621,2799261.46979,4328542.51768,3320824.6264,17743080.7604,17624.4505097,23623156.7459,10973972.4634,14673674.4107,19562953.8783,1270801.80118
236210,2799261.46979,4328542.51768,3320824.6264,17743080.7604,17624.4505097,23623156.7459,10973972.4634,14673674.4107,19562953.8783,1270801.80118
23622,2799261.46979,4328542.51768,3320824.6264,17743080.7604,17624.4505097,23623156.7459,10973972.4634,14673674.4107,19562953.8783,1270801.80118
236220,2799261.46979,4328542.51768,3320824.6264,17743080.7604,17624.4505097,23623156.7459,10973972.4634,14673674.4107,19562953.8783,1270801.80118
237,10637750.7511,28213725.4454,7940054.59143,87415790.1738,351915.922383,196428990.927,62889136.546,120486848.859,45784535.863,4080249.15771
2372,10637750.7511,28213725.4454,7940054.59143,87415790.1738,351915.922383,196428990.927,62889136.546,120486848.859,45784535.863,4080249.15771
23721,10637750.7511,28213725.4454,7940054.59143,87415790.1738,351915.922383,196428990.927,62889136.546,120486848.859,45784535.863,4080249.15771
237210,10637750.7511,28213725.4454,7940054.59143,87415790.1738,351915.922383,196428990.927,62889136.546,120486848.859,45784535.863,4080249.15771
238,11895273.85,5929483.83679,12062826.9117,43617944.7059,674468.345537,253711288.906,99694122.9741,193109039.323,18348487.7098,5387607.38923
2382,11895273.85,5929483.83679,12062826.9117,43617944.7059,674468.345537,253711288.906,99694122.9741,193109039.323,18348487.7098,5387607.38923
23821,4301379.583,2808359.32422,4885146.76482,28853885.9298,405389.874017,111135993.695,49383239.5174,80056122.9429,7723586.44491,2128183.61232
238210,4301379.583,2808359.32422,4885146.76482,28853885.9298,405389.874017,111135993.695,49383239.5174,80056122.9429,7723586.44491,2128183.61232
23822,7593894.26696,3121124.51257,7177680.14688,14764058.7761,269078.471521,142575295.211,50310883.4567,113052916.38,10624901.2649,3259423.77691
238220,7593894.26696,3121124.51257,7177680.14688,14764058.7761,269078.471521,142575295.211,50310883.4567,113052916.38,10624901.2649,3259423.77691
31.32.33,903872586.007,170224803.393,2254249578.41,5960534849.9,25435913.5687,5587423325.01,3480842588.54,3197186249.28,1322048413.95,400029743.854
311,67836595.0409,10471116.7542,110042730.465,311407059.426,178188.385815,415913467.227,224958581.837,231864825.717,114514242.75,26250740.3513
3116,67836595.0409,10471116.7542,110042730.465,311407059.426,178188.385815,415913467.227,224958581.837,231864825.717,114514242.75,26250740.3513
31161,67836595.0409,10471116.7542,110042730.465,311407059.426,178188.385815,415913467.227,224958581.837,231864825.717,114514242.75,26250740.3513
311615,67836595.0409,10471116.7542,110042730.465,311407059.426,178188.385815,415913467.227,224958581.837,231864825.717,114514242.75,26250740.3513
312,11909409.0358,5216450.29788,131879750.21,130243333.598,0.0,116094668.536,137421119.88,56168042.5922,34572195.892,13316288.7175
3121,11909409.0358,5216450.29788,131879750.21,130243333.598,0.0,116094668.536,137421119.88,56168042.5922,34572195.892,13316288.7175
31212,11909409.0358,5216450.29788,131879750.21,130243333.598,0.0,116094668.536,137421119.88,56168042.5922,34572195.892,13316288.7175
312120,11909409.0358,5216450.29788,131879750.21,130243333.598,0.0,116094668.536,137421119.88,56168042.5922,34572195.892,13316288.7175
313,3272999.13899,484571.27218,1824604.91783,16897720.1905,4155.05563323,35082327.8959,5271700.73575,25304216.8128,11370981.3925,1242404.40696
3131,1090999.713,161523.757393,608201.639275,5632573.39684,1385.01854441,11694109.2986,1757233.57858,8434738.93758,3790327.13085,414134.80232
31311,1090999.713,161523.757393,608201.639275,5632573.39684,1385.01854441,11694109.2986,1757233.57858,8434738.93758,3790327.13085,414134.80232
313110,1090999.713,161523.757393,608201.639275,5632573.39684,1385.01854441,11694109.2986,1757233.57858,8434738.93758,3790327.13085,414134.80232
3132,1090999.713,161523.757393,608201.639275,5632573.39684,1385.01854441,11694109.2986,1757233.57858,8434738.93758,3790327.13085,414134.80232
31321,272749.928249,40380.9393483,152050.409819,1408143.34921,346.254636102,2923527.32466,439308.394645,2108684.7344,947581.782712,103533.70058
313210,272749.928249,40380.9393483,152050.409819,1408143.34921,346.254636102,2923527.32466,439308.394645,2108684.7344,947581.782712,103533.70058
