tax_exempt_general_partners,partnership_general_partners,individual_general_partners,s_corporations,other_limited_partners,corporate_general_partners,partnership_limited_partners,individual_limited_partners,other_general_partners,c_corporations,corporate_limited_partners,sole_proprietorships,tax_exempt_limited_partners
14359642.39,638500440.5,150998742.3,891016695.3,285037690.6,1545192317,1399495120,1123212836,185627952.1,9319065818,2262875823,247164565.2,42002124
7179821.193,319250220.2,75499371.15,445508347.7,142518845.3,772596158.5,699747560,561606417.9,92813976.05,4659532909,1131437912,123582282.6,21001062
7179821.193,319250220.2,75499371.15,445508347.7,142518845.3,772596158.5,699747560,561606417.9,92813976.05,4659532909,1131437912,123582282.6,21001062
57438569.54,2554001762,603994969.2,3564066781,1140150762,6180769268,5597980480,4492851343,742511808.4,37276263271,9051503293,988658260.7,168008496
19146189.85,851333920.6,201331656.4,1188022260,380050254.1,2060256423,1865993493,1497617114,247503936.1,12425421090,3017167764,329552753.6,56002832.01
4786547.462,212833480.2,50332914.1,297005565.1,95012563.53,515064105.6,466498373.4,374404278.6,61875984.03,3106355273,754291941,82388188.39,14000708
4786547.462,212833480.2,50332914.1,297005565.1,95012563.53,515064105.6,466498373.4,374404278.6,61875984.03,3106355273,754291941,82388188.39,14000708
4786547.462,212833480.2,50332914.1,297005565.1,95012563.53,515064105.6,466498373.4,374404278.6,61875984.03,3106355273,754291941,82388188.39,14000708
4786547.462,212833480.2,50332914.1,297005565.1,95012563.53,515064105.6,466498373.4,374404278.6,61875984.03,3106355273,754291941,82388188.39,14000708
19146189.85,851333920.6,201331656.4,1188022260,380050254.1,2060256423,1865993493,1497617114,247503936.1,12425421090,3017167764,329552753.6,56002832.01
4786547.462,212833480.2,50332914.1,297005565.1,95012563.53,515064105.6,466498373.4,374404278.6,61875984.03,3106355273,754291941,82388188.39,14000708
4786547.462,212833480.2,50332914.1,297005565.1,95012563.53,515064105.6,466498373.4,374404278.6,61875984.03,3106355273,754291941,82388188.39,14000708
4786547.462,212833480.2,50332914.1,297005565.1,95012563.53,515064105.6,466498373.4,374404278.6,61875984.03,3106355273,754291941,82388188.39,14000708
4786547.462,212833480.2,50332914.1,297005565.1,95012563.53,515064105.6,466498373.4,374404278.6,61875984.03,3106355273,754291941,82388188.39,14000708
19146189.85,851333920.6,201331656.4,1188022260,380050254.1,2060256423,1865993493,1497617114,247503936.1,12425421090,3017167764,329552753.6,56002832.01
4786547.462,212833480.2,50332914.1,297005565.1,95012563.53,515064105.6,466498373.4,374404278.6,61875984.03,3106355273,754291941,82388188.39,14000708
4786547.462,212833480.2,50332914.1,297005565.1,95012563.53,515064105.6,466498373.4,374404278.6,61875984.03,3106355273,754291941,82388188.39,14000708
4786547.462,212833480.2,50332914.1,297005565.1,95012563.53,515064105.6,466498373.4,374404278.6,61875984.03,3106355273,754291941,82388188.39,14000708
4786547.462,212833480.2,50332914.1,297005565.1,95012563.53,515064105.6,466498373.4,374404278.6,61875984.03,3106355273,754291941,82388188.39,14000708
77502000.81,3446120755,814971872.8,10692200344,1538408181,8339726922,7553368602,6062215184,1001872979,1.11829E+11,12213215285,2315942899,226694270
77502000.81,3446120755,814971872.8,10692200344,1538408181,8339726922,7553368602,6062215184,1001872979,1.11829E+11,12213215285,2315942899,226694270
77502000.81,3446120755,814971872.8,10692200344,1538408181,8339726922,7553368602,6062215184,1001872979,1.11829E+11,12213215285,2315942899,226694270
15500400.16,689224150.9,162994374.6,2138440069,307681636.3,1667945384,1510673720,1212443037,200374595.8,22365757963,2442643057,463188579.8,45338854.01
15500400.16,689224150.9,162994374.6,2138440069,307681636.3,1667945384,1510673720,1212443037,200374595.8,22365757963,2442643057,463188579.8,45338854.01
15500400.16,689224150.9,162994374.6,2138440069,307681636.3,1667945384,1510673720,1212443037,200374595.8,22365757963,2442643057,463188579.8,45338854.01
15500400.16,689224150.9,162994374.6,2138440069,307681636.3,1667945384,1510673720,1212443037,200374595.8,22365757963,2442643057,463188579.8,45338854.01
15500400.16,689224150.9,162994374.6,2138440069,307681636.3,1667945384,1510673720,1212443037,200374595.8,22365757963,2442643057,463188579.8,45338854.01
0,63906475228,26010058641,2819824566,55786069293,53839120424,1.38315E+11,16594951266,4544986336,1.35074E+12,4.48732E+11,1671931389,9593556342
0,63906475228,26010058641,2819824566,55786069293,53839120424,1.38315E+11,16594951266,4544986336,1.35074E+12,4.48732E+11,1671931389,9593556342
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0
0,63906475228,26010058641,2819824566,55786069293,53839120424,1.38315E+11,16594951266,4544986336,1.35074E+12,4.48732E+11,1671931389,9593556342
