HRHHID,HRHHID2,OCCURNUM,YYYYMM,PRTAGE,PTERNHLY
599610199140670,91001,3,201405,26,9.50
910951066107499,91001,2,201405,67,15.00
303905920590786,93001,1,201405,57,21.16
350469097707959,91001,2,201405,62,20.00
303904370591066,93001,1,201405,25,12.00
092630360942584,93001,3,201405,24,10.00
092630360942584,93001,5,201405,23,10.00
092630360942584,93001,6,201405,20,10.00
456248930629003,93001,1,201405,67,12.00
456248930629003,93001,3,201405,40,11.50
456248930629003,93001,4,201405,43,9.00
456248930629003,93001,5,201405,43,19.46
456248930629003,93001,11,201405,41,8.00
656830557640970,91001,1,201405,48,14.00
656830557640970,91001,3,201405,19,9.00
029850760983268,91001,2,201405,80,14.90
456247970629003,91001,1,201405,58,24.00
094917604014680,91001,2,201405,38,23.55
926539170279002,91001,1,201405,31,22.50
926539170279002,91001,2,201405,30,13.00
440967090507389,91001,1,201405,56,25.00
098933501077685,93001,2,201405,58,20.00
044760760990387,91001,2,201405,32,19.00
572090269600381,91001,1,201405,41,45.00
572090269600381,91001,2,201405,48,11.00
909006401079190,91001,2,201405,54,14.00
407903600893476,91001,2,201405,52,26.00
407903600893476,91001,3,201405,24,18.00
008720760973697,91001,1,201405,42,8.00
706369330809006,93001,1,201405,55,17.50
706369330809006,93001,2,201405,27,12.00
110967096103199,93001,2,201405,38,18.00
966229730869009,93001,1,201405,51,16.00
958056402039650,93001,1,201405,35,20.00
959026212079230,91001,2,201405,51,14.50
679730545060970,91001,2,201405,28,25.00
912006955039350,93001,2,201405,36,57.00
503909940399856,93001,1,201405,49,14.83
503909940399856,93001,2,201405,21,10.50
503909940399856,93001,3,201405,23,10.00
290465096603689,93001,1,201405,52,99.99
290465096603689,93001,2,201405,52,65.00
005100760923194,91001,1,201405,59,15.62
005100760923194,91001,3,201405,40,20.00
700609928558964,91001,1,201405,63,75.00
700609928558964,91001,2,201405,28,15.00
820964095107159,91001,3,201405,22,10.50
820964095107159,91001,5,201405,23,11.00
699690243230970,91001,1,201405,27,14.00
699690243230970,91001,2,201405,27,20.00
090957805067638,91001,1,201405,53,11.01
500986094403459,93001,1,201405,37,13.00
500986094403459,93001,3,201405,40,10.00
954008944039650,93001,1,201405,25,16.00
954008944039650,93001,2,201405,26,17.75
911038707079000,91001,2,201405,59,16.00
090850380994598,93001,1,201405,42,27.00
532090269800881,93001,2,201405,40,8.50
096903502082818,93001,2,201405,36,15.00
010010380990999,93001,1,201405,48,19.85
560988094603359,93001,1,201405,44,12.25
300909924067481,93001,1,201405,48,25.00
912079904079460,91001,1,201405,65,25.00
737095759900612,93001,1,201405,58,21.00
737095759900612,93001,3,201405,22,8.35
790521073906795,93001,1,201405,47,12.00
703902570691759,93001,1,201405,40,27.22
703902570691759,93001,2,201405,38,8.50
919499430619003,93001,2,201405,51,29.98
919499430619003,93001,3,201405,76,14.00
607909071199620,91001,3,201405,57,9.00
149240461700931,93001,1,201405,36,4.00
149240461700931,93001,2,201405,34,16.00
511397077803599,91001,2,201405,33,14.00
173198358100619,91001,2,201405,28,12.50
075881320978398,93001,1,201405,45,12.00
432166029200949,93001,1,201405,34,8.50
192977809020248,91001,2,201405,22,14.50
279020829980931,93001,4,201405,21,7.97
009781330990299,93001,1,201405,61,17.00
310309958770986,93001,1,201405,26,32.75
310309958770986,93001,2,201405,28,16.50
399150194910971,91001,1,201405,50,10.78
399150194910971,91001,2,201405,48,26.00
399150194910971,91001,4,201405,25,12.00
399150194910971,91001,5,201405,23,9.00
990935091117149,91001,3,201405,50,18.00
102097607050391,91001,2,201405,49,25.00
580934091313789,93001,1,201405,33,9.00
580934091313789,93001,4,201405,35,9.00
310509924593012,93001,1,201405,63,12.50
310509924593012,93001,2,201405,31,8.25
970199149500136,91001,1,201405,77,10.01
351166047908592,91001,1,201405,65,17.00
761604023001104,93001,1,201405,30,15.00
761604023001104,93001,2,201405,32,15.00
082301360025907,93001,2,201405,66,9.00
082301360025907,93001,6,201405,41,8.00
057471360974590,93001,1,201405,39,23.15
057471360974590,93001,2,201405,41,58.00
699570717440971,91001,1,201405,59,28.04
916589630469104,93001,1,201405,22,24.60
310600008651610,93001,1,201405,43,12.00
310600008651610,93001,2,201405,37,8.25
030105180600166,93001,2,201405,58,9.00
361544057909363,91001,1,201405,59,27.00
361544057909363,91001,2,201405,59,8.50
916139570109105,91001,2,201405,35,23.00
957409570476107,91001,2,201405,62,37.00
997119230206101,93001,2,201405,67,8.25
036199138700390,93001,3,201405,56,18.50
748150937580931,93001,1,201405,28,10.00
748150937580931,93001,2,201405,61,10.00
971173063900393,93001,1,201405,18,8.75
971173063900393,93001,4,201405,20,11.00
198943305064788,93001,2,201405,35,10.00
193917609033771,91001,2,201405,51,27.00
457459370339104,91001,2,201405,54,26.00
095011370995593,93001,1,201405,49,33.00
908057786139410,93001,2,201405,24,9.50
197983505071798,93001,1,201405,28,30.00
197983505071798,93001,2,201405,27,30.00
101023006031721,93001,1,201405,70,18.30
937799030909103,93001,1,201405,57,32.00
936087943179070,91001,1,201405,57,25.50
936087943179070,91001,3,201405,28,10.00
780970096317439,91001,2,201405,49,15.25
951097999139510,93001,1,201405,61,26.00
710700007581610,91001,2,201405,31,22.00
799940761740971,91001,1,201405,75,12.50
799940761740971,91001,2,201405,71,32.00
040421370996694,93001,1,201405,45,99.99
967649430409102,93001,1,201405,34,34.00
207901611891237,91001,1,201405,52,17.93
207901611891237,91001,4,201405,21,11.50
799760231520971,91001,1,201405,21,10.05
799760231520971,91001,2,201405,22,13.75
031101380700154,93001,1,201405,52,45.00
947339370459107,91001,1,201405,31,19.25
947339370459107,91001,2,201405,36,17.50
937829870049102,91001,1,201405,50,9.00
435199639700844,93001,1,201405,54,22.00
435199639700844,93001,2,201405,56,12.00
997449370569104,91001,1,201405,31,14.80
919098985139620,93001,1,201405,25,8.50
919098985139620,93001,2,201405,34,20.67
460981092613949,93001,1,201405,47,16.00
681332097908891,91001,1,201405,67,18.11
047441380991997,93001,2,201405,46,15.75
407009511108728,91001,2,201405,48,15.50
945088921139170,93001,1,201405,51,8.00
360980092313529,93001,1,201405,26,12.00
006231380995392,93001,1,201405,45,9.00
908169470989106,91001,4,201405,33,7.75
080984096617199,91001,2,201405,40,11.00
080984096617199,91001,3,201405,38,11.00
080984096617199,91001,4,201405,37,7.38
433105150800199,93001,1,201405,85,33.00
181599043001305,93001,2,201405,42,16.75
710800047561419,91001,1,201405,67,19.60
710800047561419,91001,2,201405,72,8.50
084311390994691,93001,1,201405,45,20.01
923049984139280,93001,2,201405,44,11.00
945079785139460,93001,1,201405,23,13.20
945079785139460,93001,2,201405,24,14.00
407908671895549,91001,1,201405,64,13.95
999280104230971,91001,1,201405,34,15.60
999280104230971,91001,2,201405,38,30.00
955049909139110,93001,2,201405,42,23.81
955099905179400,91001,1,201405,25,17.50
955099905179400,91001,2,201405,26,28.00
250908099723859,93001,1,201405,24,7.25
250908099723859,93001,2,201405,23,15.45
052252300994695,93001,2,201405,28,13.75
992050977279090,91001,3,201405,32,12.00
930529930779208,93001,2,201405,40,13.00
079550089380972,91001,1,201405,48,7.25
079550089380972,91001,2,201405,35,10.60
987060970279420,91001,1,201405,73,10.50
921389230899205,93001,3,201405,24,11.00
199700327590972,91001,1,201405,34,24.71
297913601019118,93001,1,201405,29,10.50
297913601019118,93001,2,201405,30,8.50
500914094923149,93001,1,201405,22,7.75
720100051362319,91001,1,201405,54,36.56
025932310993993,93001,2,201405,37,36.56
029502310994990,93001,1,201405,61,20.50
914081915279040,91001,3,201405,35,12.00
972949670479209,91001,1,201405,52,25.62
132884067909960,91001,1,201405,32,12.10
963083981239700,93001,1,201405,72,10.50
005822330998696,93001,1,201405,59,12.00
130935066227789,91001,1,201405,67,16.50
059662740970697,91001,1,201405,61,12.00
972024927239160,93001,2,201405,71,18.00
954004744279650,91002,1,201405,52,25.00
298983406070408,93001,1,201405,64,80.00
273298249400345,91001,1,201405,43,17.00
720409944503887,91001,1,201405,60,40.00
720409944503887,91001,2,201405,44,9.25
134292739500851,93001,1,201405,50,48.00
134292739500851,93001,2,201405,47,21.79
134292739500851,93001,3,201405,26,17.51
057792350972493,93001,1,201405,27,25.00
905019670309201,91001,1,201405,41,8.50
905019670309201,91001,2,201405,36,8.50
872295349500655,91001,1,201405,46,30.00
872295349500655,91001,2,201405,44,8.00
252943063908090,93001,1,201405,29,20.00
252943063908090,93001,2,201405,35,44.00
407900122697275,91001,1,201405,59,35.00
274291279500670,91001,2,201405,48,15.00
298967804007588,91001,2,201405,62,23.06
726979030759203,93001,1,201405,44,17.05
240968096423799,93001,2,201405,17,7.25
926769830949204,93001,2,201405,53,11.24
926869570869204,91001,1,201405,61,18.00
926869570869204,91001,2,201405,64,24.00
050960090323309,93001,1,201405,39,18.00
088692760971793,91001,2,201405,21,9.00
088692760971793,91001,3,201405,24,15.45
932299909600803,93001,1,201405,33,45.00
807004682108276,91001,1,201405,37,20.00
807004682108276,91001,2,201405,35,13.00
996409270599200,91001,1,201405,66,10.00
730965096723479,93001,1,201405,68,12.30
730965096723479,93001,2,201405,64,15.00
107007442104696,91001,1,201405,32,25.00
907899730909201,93001,1,201405,64,17.00
907899730909201,93001,2,201405,24,9.00
307005272101557,91001,1,201405,46,17.20
924067961239690,93001,1,201405,33,28.00
974038958279400,91001,2,201405,33,22.00
974038958279400,91001,3,201405,23,10.25
707602522990278,91001,2,201405,46,9.95
602038993239100,93001,1,201405,40,15.20
602038993239100,93001,2,201405,29,32.00
140999093923289,93001,2,201405,60,12.30
959729370599207,91001,1,201405,45,16.00
999230755970972,91001,1,201405,69,18.00
969889830749200,93001,2,201405,55,8.50
007006822103379,91002,1,201405,44,60.50
770997099927229,91001,1,201405,51,21.00
503900212691079,93001,1,201405,39,10.25
074773300994195,93001,1,201405,76,10.00
103366097908194,91001,1,201405,27,10.85
503539007909166,91001,2,201405,46,21.04
920979030759303,93001,1,201405,53,14.00
099390228070673,91001,1,201405,29,12.00
099520432850633,93001,2,201405,51,14.00
021573300998894,93001,1,201405,31,7.75
260701090337219,91001,1,201405,25,12.50
450919098037059,91001,1,201405,35,13.25
450919098037059,91001,2,201405,51,13.75
199410183290973,91001,1,201405,44,14.00
991569530069300,93001,1,201405,56,15.75
991569530069300,93001,2,201405,54,17.00
971009970729309,91001,1,201405,66,19.00
045643310996498,93001,1,201405,20,12.00
925021730379410,91001,2,201405,33,15.00
971629230006306,93001,1,201405,68,10.60
523486037908498,91001,1,201405,53,50.00
963029470179304,91001,1,201405,59,15.70
963029470179304,91001,3,201405,23,10.00
930073941339630,93001,2,201405,25,18.25
730309992216387,91001,1,201405,53,21.00
610934097337069,91001,1,201405,45,90.00
913499430619303,93001,1,201405,59,18.00
913499430619303,93001,2,201405,61,19.50
913499430619303,93001,3,201405,25,13.00
900730091937889,91002,1,201405,30,25.00
000893730978991,91001,2,201405,48,8.75
000893730978991,91001,3,201405,19,7.25
963083981379700,91001,1,201405,29,19.38
963083981379700,91001,2,201405,28,14.00
954959270259309,91001,2,201405,59,30.00
392927008014468,91001,2,201405,42,72.12
843261007908492,91001,2,201405,60,26.00
