HRHHID,HRHHID2,OCCURNUM,YYYYMM,PRTAGE,PESF1
214309590900195,89001,1,201206,47,2
949239210439302,89001,4,201206,28,0
041034220966999,89001,2,201206,48,2
041034220966999,89001,3,201206,15,0
192520440230400,90001,1,201206,27,0
152760560920400,90001,2,201206,46,0
152760560920400,90001,4,201206,30,0
070622096946969,90001,1,201206,26,0
608909074299622,88001,3,201206,30,2
570625097148279,88001,2,201206,24,0
919092885489620,88001,2,201206,48,0
440209914524795,90001,1,201206,28,0
260825090346339,90001,2,201206,32,1
450921093541199,89001,2,201206,41,2
702904814994512,89001,1,201206,48,0
927062818469680,90001,3,201206,44,0
406909774999462,90001,2,201206,27,2
620123005942380,89001,2,201206,50,0
162350320820409,89001,1,201206,43,3
497906306042229,90001,1,201206,27,1
624024036909297,90001,1,201206,24,1
140209940899389,89001,3,201206,21,2
259120402290944,90001,1,201206,26,1
289060951530944,90001,2,201206,35,2
493904006062229,90001,1,201206,34,0
850724094945739,90001,2,201206,28,0
624562075908797,90001,2,201206,31,0
370922096441439,89001,1,201206,25,1
027344120994396,89001,2,201206,32,2
019314520993798,90001,2,201206,35,2
363498439200959,90001,3,201206,23,0
840209955769395,88001,4,201206,49,0
499967909030288,90001,3,201206,30,1
007908694893992,90001,2,201206,47,0
071824120994591,89001,1,201206,32,1
124542012907897,89002,2,201206,26,1
840209949639297,88001,1,201206,46,0
440209903699098,90001,2,201206,24,1
902601114991672,89001,1,201206,38,1
902601114991672,89001,2,201206,19,0
076254120997194,89001,1,201206,28,2
823494559200902,89001,1,201206,45,0
724244065001905,90001,1,201206,45,2
822869560869404,90001,3,201206,23,0
063492899200951,90001,2,201206,31,0
306901284995092,90001,2,201206,44,0
720490799200969,89001,1,201206,45,3
908072807449320,90001,3,201206,45,1
350329093442939,89001,2,201206,30,0
931022671429690,89001,1,201206,45,1
724899074904697,90001,2,201206,49,1
640209959424329,90001,1,201206,47,3
013824620932799,90001,2,201206,16,0
497957206049283,90001,1,201206,26,1
002904084990312,89001,2,201206,47,4
002904084990312,89001,3,201206,15,0
002904084990312,89001,5,201206,42,0
002904084990312,89001,6,201206,22,0
002904084990312,89001,7,201206,24,0
240209931408090,89001,1,201206,40,2
140209935584567,89001,1,201206,42,2
908032714419250,89001,2,201206,41,2
918052834449060,90001,3,201206,22,0
605007674104562,90001,1,201206,31,2
299360709800954,90001,1,201206,50,0
035484520997598,90001,1,201206,23,2
919094885469620,90001,1,201206,33,1
494049110759405,89001,1,201206,38,1
602906854499954,89001,1,201206,28,3
814588640469404,90001,1,201206,41,1
479950986560954,90001,1,201206,48,0
047284140970897,89001,1,201206,40,2
784079410279408,89002,1,201206,30,1
499790266360954,90001,1,201206,47,1
344662076907699,90001,2,201206,25,0
457493999500826,90001,2,201206,42,0
885719260659401,90001,1,201206,32,0
850852091146769,90001,2,201206,31,2
012924150993692,89001,2,201206,50,0
965329110929402,89001,2,201206,22,0
976085870429700,89001,2,201206,31,0
440509979805293,90001,1,201206,46,3
995085970459990,90001,2,201206,21,0
029468829700961,89001,2,201206,16,0
029468829700961,89001,4,201206,41,1
799350947720654,90001,1,201206,25,3
520879094348269,88001,2,201206,49,2
702900294998907,89001,2,201206,33,2
837939520249409,89002,2,201206,25,2
957439750119402,90001,2,201206,28,0
474809084909298,90001,2,201206,22,0
252408650700149,90001,1,201206,23,0
