HRHHID,HRHHID2,OCCURNUM,YYYYMM,PRTAGE,PESF1
999280758500912,86001,1,201006,37,1
760191009528680,85001,2,201006,34,0
098862590997699,87001,1,201006,30,0
680199009628780,85001,1,201006,31,1
025832590997592,87001,3,201006,18,0
970099860289230,85001,2,201006,32,0
295998206031969,85001,3,201006,17,0
319297759900894,86001,2,201006,41,3
319297759900894,86001,3,201006,20,0
319297759900894,86001,4,201006,18,0
508600273993140,85001,3,201006,25,0
089310549510943,87001,2,201006,36,2
393906006062029,87001,4,201006,24,0
206902063996030,87001,2,201006,36,0
430006967189997,87001,2,201006,26,1
020453500698298,87001,1,201006,26,2
099790601520953,87001,2,201006,26,2
369978107002069,85002,1,201006,18,1
099800922260913,86001,2,201006,25,0
398988404050189,85001,3,201006,19,1
901619510879306,86001,2,201006,32,3
213144001905895,86001,3,201006,25,0
957061759319820,86001,2,201006,28,0
230100058308229,86001,1,201006,40,0
813032052904998,86001,2,201006,27,0
621299620029303,86001,1,201006,31,1
621299620029303,86001,3,201006,31,2
189380406240963,87001,1,201006,34,3
399966302085107,87001,2,201006,26,0
506900623798391,87001,1,201006,24,0
130109909533781,86001,1,201006,41,4
930916094231319,86001,3,201006,23,0
422899610199305,86001,3,201006,15,0
239650059270923,86001,1,201006,25,1
005906913093942,87001,1,201006,44,2
005906913093942,87001,2,201006,21,1
398896508015269,87001,1,201006,24,2
766396959200260,87001,1,201006,41,1
766396959200260,87001,3,201006,16,0
395966709066202,87001,1,201006,39,1
304907193793632,87001,1,201006,43,1
962019650949304,87001,3,201006,23,0
299160469400953,87001,2,201006,38,0
007913130995592,86001,1,201006,24,0
960533093532069,86001,3,201006,29,0
843309520709308,86001,2,201006,27,1
289395709300415,85001,1,201006,37,3
733551028904990,85001,1,201006,43,2
733551028904990,85001,4,201006,15,0
901901453895313,86001,1,201006,33,4
230309952142276,86001,4,201006,17,0
230309952142276,86001,5,201006,15,0
893819020809309,86001,1,201006,38,3
893819020809309,86001,3,201006,17,0
604904113793943,87001,2,201006,29,0
025024155380470,85001,1,201006,40,2
410540572250083,85001,3,201006,18,0
701902573891754,86001,2,201006,33,2
290846099532819,86001,5,201006,23,0
441390259400733,87001,4,201006,22,0
824119340479305,87001,1,201006,35,0
520846098238349,85001,2,201006,42,2
605906853899954,87001,4,201006,17,0
605906853899954,87001,5,201006,16,0
394981707082408,86001,1,201006,28,0
391936201008459,87001,4,201006,40,1
243114038909891,85001,1,201006,41,2
089783540996590,87001,1,201006,44,0
024392829400916,86001,1,201006,40,0
857393509400823,87001,1,201006,44,3
857393509400823,87001,2,201006,15,0
243639058907893,85002,1,201006,37,0
941014847389820,85001,1,201006,41,3
302075104099481,87001,2,201006,15,0
499630313970913,86001,2,201006,33,0
230409915950599,86001,2,201006,38,0
830409917996592,85001,2,201006,42,3
510150183390043,87001,2,201006,38,4
253755054909294,87001,2,201006,31,0
350759097735959,87001,1,201006,41,1
394976502052554,87001,3,201006,18,0
830500015983123,85001,1,201006,24,0
301041305059511,86001,1,201006,22,0
301041305059511,86001,2,201006,22,0
845969660159305,87001,2,201006,44,1
018153250014804,86001,1,201006,40,2
649980910530953,87001,1,201006,35,3
608906633992796,85001,2,201006,44,4
810861095438479,85001,3,201006,24,0
810861095438479,85001,4,201006,19,0
706901683993736,87001,3,201006,19,0
060763090631229,86001,1,201006,37,1
413398549600897,86001,1,201006,20,0
994096883329090,86001,1,201006,25,0
610440983570083,85001,2,201006,35,2
045393860017804,85001,2,201006,31,1
689890558040943,87001,3,201006,27,2
301608453899856,86001,1,201006,36,5
130609915607688,86001,2,201006,40,8
063939075906098,87001,1,201006,21,1
220766099331209,86001,1,201006,41,2
440865092836689,87001,1,201006,41,3
706369410009306,86001,3,201006,16,0
663987011903897,86001,2,201006,35,1
130609996899366,86001,1,201006,33,0
959006062329450,86001,1,201006,31,0
121398709600254,86001,1,201006,42,1
960076221359820,87001,2,201006,24,0
960076221359820,87001,3,201006,21,0
392978401072659,85001,2,201006,44,2
988026889369470,87001,1,201006,43,1
130600065990810,86002,4,201006,44,3
130600065990810,86002,5,201006,22,0
947076314329490,86001,2,201006,30,1
947076314329490,86001,4,201006,17,0
063998064907095,87001,2,201006,33,2
500563092538519,85001,1,201006,36,0
080390509600733,85001,1,201006,39,2
080390509600733,85001,3,201006,21,0
903056851389950,85001,3,201006,29,0
699510357580913,86001,2,201006,32,1
002906823993376,86001,1,201006,23,2
091086185380380,85001,2,201006,43,3
130609943868587,86001,2,201006,43,2
011913460984996,87001,1,201006,30,0
310969090331129,86001,2,201006,39,2
310969090331129,86001,3,201006,16,0
397952502085629,86002,2,201006,32,1
398954302056607,87001,1,201006,30,0
309065703026761,87001,2,201006,27,3
398952009087769,86001,2,201006,44,0
029853170993298,86001,1,201006,25,1
368962100015729,86001,3,201006,23,0
130709910751584,86001,2,201006,22,1
114395109700857,86001,1,201006,41,0
957719050419305,87001,2,201006,19,0
071243570999298,87001,2,201006,40,3
506906503992947,87001,2,201006,24,0
250179004836240,87001,1,201006,32,3
561398579700979,87001,1,201006,42,1
364965605024729,87001,3,201006,23,0
309021504039741,86001,2,201006,33,1
145301600700105,87001,2,201006,36,1
649391299700996,87001,2,201006,23,2
364938709029729,85001,3,201006,16,0
392944502048749,87001,1,201006,31,0
710560814090043,87001,1,201006,43,0
300081006030741,86001,2,201006,42,2
300081006030741,86001,3,201006,16,0
902907253992787,86001,2,201006,26,0
230709977833374,86001,2,201006,24,0
805902443694797,87001,1,201006,24,1
906904613798377,87001,2,201006,41,2
430700004806718,87001,1,201006,28,0
400985090831379,86001,2,201006,29,0
326394759800921,86001,2,201006,37,2
083001014909396,87001,3,201006,25,1
083001014909396,87001,4,201006,18,0
260881093432819,86001,3,201006,19,0
810520246210083,85001,2,201006,30,3
808908243996648,85001,1,201006,25,0
